Feature_Set,N_Features,K,Silhouette,Calinski_Harabasz,Davies_Bouldin,Inertia
Original (All 9),9,2,0.29094318673134223,38.953981460487405,1.53846228806405,1294.2514533410554
Original (All 9),9,3,0.27265254197966976,42.668589975095756,1.4434279360419595,1060.7532375047003
Original (All 9),9,4,0.20646464948593343,40.882397253324946,1.5722138644332417,924.6583969547597
Original (All 9),9,5,0.1858186117203184,37.45369762326309,1.522030058052772,844.3002256339735
Original (All 9),9,6,0.17333267964422672,34.40010058178648,1.5600687417926569,787.367263233831
Clinical Only,3,2,0.49552569885740866,102.44798115657245,0.9937079326717683,332.3301534546793
Clinical Only,3,3,0.4694085313006825,99.1148324638557,0.8368101719384423,246.05792217005921
Clinical Only,3,4,0.4643555396980958,112.52937737730875,0.8178953892125141,178.21451143310537
Clinical Only,3,5,0.5001813589282976,116.92647474839288,0.8187794244687698,141.36083625072132
Clinical Only,3,6,0.5049655737256911,118.54369677627177,0.7444000790673463,117.68431196688057
Temporal Only,3,2,0.40916197834272305,73.2142180859603,1.2700945978386529,371.62911062038773
Temporal Only,3,3,0.3271952281414193,77.04326905065894,1.1712241728179684,279.265544006294
Temporal Only,3,4,0.3226107416560824,85.81451632336078,0.9481233687148725,211.47366217934913
Temporal Only,3,5,0.2947165034261674,85.67536647358409,0.9478357276803886,175.75966975841064
Temporal Only,3,6,0.29533941602692004,87.00114526547023,0.9145667919276681,148.36223211453287
Clinical + Temporal,5,2,0.35602440596045376,66.49882300315146,1.1463692777036205,636.6767125425539
Clinical + Temporal,5,3,0.24213272265113714,56.253750409503624,1.4679085739205588,533.2259207316239
Clinical + Temporal,5,4,0.23803949660634505,52.97710828579837,1.4081950792017603,457.37586209230585
Clinical + Temporal,5,5,0.25587392823649135,51.32556525617887,1.2763335787333876,399.891299058967
Clinical + Temporal,5,6,0.2745969161146152,49.240949636703725,1.158112231085135,359.4384750604439
Core (No Redundancy),5,2,0.35602440596045376,66.49882300315146,1.1463692777036205,636.6767125425539
Core (No Redundancy),5,3,0.24213272265113714,56.253750409503624,1.4679085739205588,533.2259207316239
Core (No Redundancy),5,4,0.23803949660634505,52.97710828579837,1.4081950792017603,457.37586209230585
Core (No Redundancy),5,5,0.25587392823649135,51.32556525617887,1.2763335787333876,399.891299058967
Core (No Redundancy),5,6,0.2745969161146152,49.240949636703725,1.158112231085135,359.4384750604439
Slope + Demographics,4,2,0.38907486384761253,67.61157657116257,1.1854967641703171,506.9955742121526
Slope + Demographics,4,3,0.2970059956173316,64.10073385815696,1.2658376429143647,404.3539393198097
Slope + Demographics,4,4,0.2829374004878252,62.22020549952638,1.1891491436581736,337.6116429568444
Slope + Demographics,4,5,0.324613073046147,63.69229721506886,1.04253480038127,282.7447432780448
Slope + Demographics,4,6,0.33633214594023486,63.21510130432375,1.073050508516278,246.21689098559236
FVC Features,4,2,0.29525943087014483,64.60575756548214,1.4082861686983923,513.3824147826048
FVC Features,4,3,0.31507240193099134,71.500750864127,1.1002826283187142,385.41588990528027
FVC Features,4,4,0.2998876799474303,68.9894204474866,1.133927616057764,319.52016132184
FVC Features,4,5,0.25504759371034497,67.21862142922362,1.1410204442439187,273.67806933335015
FVC Features,4,6,0.23516042818408386,64.56311731990313,1.1379335852154722,242.84946185611898
Best Guess,4,2,0.2713597108822686,50.070135237061336,1.4965993919152751,546.6859734359595
Best Guess,4,3,0.23621437207621146,49.098097345982836,1.509001136543999,449.09184709739634
Best Guess,4,4,0.23932026377135535,48.28220824567121,1.343385873502053,382.1659773100137
Best Guess,4,5,0.25692764664647766,48.190178837875855,1.2076294888335526,330.9428284021061
Best Guess,4,6,0.2698180315693482,47.43036622810128,1.2128431090555314,293.94439824758865
Minimal,3,2,0.4977608694061961,103.43904178946099,0.8912057181534572,331.14301219984225
Minimal,3,3,0.42909629993699383,107.23162668643207,1.093303494933499,235.7488076736343
Minimal,3,4,0.5035251481960888,124.46658091158926,0.7078204906461145,166.51272980919703
Minimal,3,5,0.5477683481810469,136.23098602555422,0.6644372897190575,126.1139549023227
Minimal,3,6,0.5174706854987375,155.39842015984493,0.6828663501297932,94.78431755053289
